Frame,X,Y,Visibility
0,0,0.5315988063812256,0.338126003742218,0.999889612197876
0,1,0.5456766486167908,0.3286803364753723,0.9997703433036804
0,2,0.5520232319831848,0.3289341926574707,0.9997501969337463
0,3,0.560016930103302,0.329166442155838,0.9997656941413879
0,4,0.5223047733306885,0.3273557722568512,0.999729335308075
0,5,0.513158917427063,0.3269067704677582,0.9997190833091736
0,6,0.5038505792617798,0.3265533447265625,0.9997474551200867
0,7,0.5678343176841736,0.3332342505455017,0.9993256330490112
0,8,0.4904666841030121,0.33023789525032043,0.9995831847190857
0,9,0.5435361862182617,0.35252559185028076,0.9997777342796326
0,10,0.5124962329864502,0.35066452622413635,0.9998146891593933
0,11,0.6113417744636536,0.40267297625541687,0.9998437166213989
0,12,0.4266500473022461,0.398048460483551,0.9997857213020325
0,13,0.6138062477111816,0.4904657304286957,0.8245851397514343
0,14,0.4063815474510193,0.49418339133262634,0.9657914042472839
0,15,0.6495680809020996,0.5794916749000549,0.8496026396751404
0,16,0.39416682720184326,0.5782834887504578,0.93189537525177
0,17,0.654503345489502,0.6046832799911499,0.7757627367973328
0,18,0.39714503288269043,0.6061853766441345,0.8857277631759644
0,19,0.6479462385177612,0.6064541935920715,0.7921143770217896
0,20,0.41581571102142334,0.6041405200958252,0.8902369737625122
0,21,0.6412503719329834,0.598727285861969,0.7565163969993591
0,22,0.42059066891670227,0.5961117148399353,0.8648924827575684
0,23,0.5821585059165955,0.5715246200561523,0.9993483424186707
0,24,0.4706380367279053,0.5708905458450317,0.9991613626480103
0,25,0.5736584067344666,0.7294180393218994,0.9286976456642151
0,26,0.48015332221984863,0.7294043898582458,0.9176477193832397
0,27,0.5491439700126648,0.873782753944397,0.9378733038902283
0,28,0.49155381321907043,0.8781964182853699,0.9181530475616455
0,29,0.5345136523246765,0.8920208811759949,0.6984328627586365
0,30,0.4916490316390991,0.8975135684013367,0.5019083619117737
0,31,0.5790584087371826,0.9107094407081604,0.9268842339515686
0,32,0.5087984204292297,0.9136113524436951,0.902820885181427
1,0,0.5314176678657532,0.33947864174842834,0.9998981952667236
1,1,0.5453563928604126,0.32928338646888733,0.9997873306274414
1,2,0.552006721496582,0.3296831548213959,0.999768853187561
1,3,0.5600116848945618,0.33005809783935547,0.9997828006744385
1,4,0.5220049023628235,0.32772964239120483,0.9997492432594299
