Frame,X,Y,Visibility
0,0,0.3074742555618286,0.3595854640007019,0.9995800852775574
0,1,0.31095564365386963,0.3493593633174896,0.9987194538116455
0,2,0.3132362365722656,0.34942352771759033,0.9985895752906799
0,3,0.31529495120048523,0.34963229298591614,0.9988303780555725
0,4,0.3044642210006714,0.3495563864707947,0.9987242817878723
0,5,0.30219486355781555,0.3499096632003784,0.9987989664077759
0,6,0.2998543679714203,0.3501792252063751,0.9990699887275696
0,7,0.3194582760334015,0.35482197999954224,0.9973334074020386
0,8,0.2981105446815491,0.3546902537345886,0.9968498349189758
0,9,0.3131468594074249,0.37194567918777466,0.9990222454071045
0,10,0.3044017255306244,0.3712238669395447,0.9987955093383789
0,11,0.3423338830471039,0.4151022732257843,0.999701201915741
0,12,0.2844099998474121,0.41824087500572205,0.9983630776405334
0,13,0.3688611388206482,0.45776456594467163,0.988881528377533
0,14,0.2644871175289154,0.4538651704788208,0.9767463207244873
0,15,0.36263948678970337,0.5225038528442383,0.968639612197876
0,16,0.27306854724884033,0.37033724784851074,0.9790865778923035
0,17,0.3604857325553894,0.5416139364242554,0.9120243191719055
0,18,0.27374354004859924,0.351354718208313,0.9474831223487854
0,19,0.3568737804889679,0.5391902923583984,0.9119315147399902
0,20,0.27571582794189453,0.3492050766944885,0.941908061504364
0,21,0.35628360509872437,0.5337315797805786,0.8799428939819336
0,22,0.2768905758857727,0.3559432923793793,0.9202658534049988
0,23,0.33148372173309326,0.5862804055213928,0.999113142490387
0,24,0.29736196994781494,0.5820403099060059,0.9996358156204224
0,25,0.33160263299942017,0.7043970823287964,0.9666001796722412
0,26,0.2928806245326996,0.6690353155136108,0.9844173192977905
0,27,0.3311944603919983,0.8324792981147766,0.9741646647453308
0,28,0.2965129017829895,0.7883692979812622,0.9740025997161865
0,29,0.33035793900489807,0.8488254547119141,0.7465799450874329
0,30,0.30108699202537537,0.8049424886703491,0.8736331462860107
0,31,0.3249284029006958,0.8663290739059448,0.9573681354522705
0,32,0.29818883538246155,0.8407546281814575,0.9779524207115173
1,0,0.30698102712631226,0.3596203625202179,0.99961256980896
1,1,0.3105107247829437,0.3493114411830902,0.9988100528717041
1,2,0.3128074109554291,0.34932300448417664,0.9986928105354309
1,3,0.3150562644004822,0.3494691550731659,0.9989105463027954
1,4,0.3041532635688782,0.3495568633079529,0.998809278011322
1,5,0.3020521104335785,0.3499067723751068,0.9988807439804077
1,6,0.2998233735561371,0.3501785397529602,0.9991261959075928
1,7,0.3194624185562134,0.35482847690582275,0.9975398778915405
1,8,0.29824310541152954,0.3548157811164856,0.9970510601997375
1,9,0.3129567801952362,0.37201884388923645,0.9991011023521423
1,10,0.30373314023017883,0.371332585811615,0.9988803863525391
1,11,0.34245604276657104,0.41545721888542175,0.9997260570526123
1,12,0.2849392592906952,0.4214799702167511,0.9984135031700134
1,13,0.3723698556423187,0.45708978176116943,0.9896248579025269
1,14,0.2646363377571106,0.45216643810272217,0.977214515209198
1,15,0.36324337124824524,0.5230878591537476,0.9705311059951782
1,16,0.2732338607311249,0.3643306493759155,0.9793029427528381
1,17,0.3609011471271515,0.5419753193855286,0.9159242510795593
1,18,0.2739039957523346,0.34564003348350525,0.9483677744865417
1,19,0.3576352000236511,0.5399066805839539,0.9158633351325989
1,20,0.27575063705444336,0.34417587518692017,0.9428749084472656
1,21,0.35708287358283997,0.5344942808151245,0.885008692741394
1,22,0.27694448828697205,0.35110631585121155,0.9212260246276855
1,23,0.3315022587776184,0.5851423144340515,0.9991605877876282
1,24,0.2973908483982086,0.581542432308197,0.9996349215507507
1,25,0.3310546278953552,0.7038460373878479,0.9683424830436707
1,26,0.29313763976097107,0.6596558094024658,0.9852615594863892
1,27,0.3311956226825714,0.8321553468704224,0.975678026676178
1,28,0.29645243287086487,0.7788239121437073,0.9752641916275024
1,29,0.3300204277038574,0.8484563827514648,0.7560852766036987
1,30,0.3009189963340759,0.7952943444252014,0.8739354014396667
1,31,0.32513919472694397,0.8666364550590515,0.9598058462142944
1,32,0.29854267835617065,0.8339781165122986,0.9789193272590637
2,0,0.30612829327583313,0.34511303901672363,0.999599277973175
2,1,0.30665019154548645,0.33630895614624023,0.9988383054733276
2,2,0.30569741129875183,0.3362121284008026,0.9987084865570068
2,3,0.3043270409107208,0.3362627327442169,0.9989071488380432
2,4,0.3059910237789154,0.336098313331604,0.9988702535629272
2,5,0.3066686689853668,0.3359012305736542,0.9989234805107117
2,6,0.3075783848762512,0.33579403162002563,0.9991611242294312
2,7,0.3017711341381073,0.33951687812805176,0.9976733326911926
2,8,0.3101825416088104,0.33991846442222595,0.9972828030586243
2,9,0.30490919947624207,0.3535836935043335,0.9990350604057312
2,10,0.3044644296169281,0.353241503238678,0.9988902807235718
2,11,0.2815973460674286,0.3804747462272644,0.9997142553329468
2,12,0.3348964750766754,0.3808060586452484,0.9985696077346802
2,13,0.2764614224433899,0.4456258714199066,0.9757585525512695
2,14,0.36439424753189087,0.44405773282051086,0.9790507555007935
2,15,0.29045233130455017,0.4392443001270294,0.886384904384613
2,16,0.36050182580947876,0.5131863355636597,0.9687069058418274
2,17,0.2932578921318054,0.4363275170326233,0.8323950171470642
2,18,0.35954442620277405,0.5318019986152649,0.9270364046096802
2,19,0.30029407143592834,0.4341314733028412,0.8320444822311401
2,20,0.35542285442352295,0.5308064222335815,0.9207713007926941
2,21,0.30123069882392883,0.43579792976379395,0.804616391658783
2,22,0.3542724847793579,0.5247604250907898,0.8950352668762207
2,23,0.30077657103538513,0.5587806701660156,0.999157726764679
2,24,0.328412264585495,0.5581954121589661,0.9996259212493896
2,25,0.29987967014312744,0.6531314253807068,0.9564491510391235
2,26,0.3257687985897064,0.675143301486969,0.9788956642150879
2,27,0.300936758518219,0.7745406627655029,0.9668878316879272
2,28,0.3275739252567291,0.8259863257408142,0.9751241207122803
2,29,0.3030053973197937,0.7915480732917786,0.7741995453834534
2,30,0.3258861005306244,0.8431859016418457,0.8840310573577881
2,31,0.30708616971969604,0.8334782719612122,0.9476780891418457
2,32,0.3216060400009155,0.8478971719741821,0.9754515290260315
3,0,0.6411346197128296,0.3648214042186737,0.9996359944343567
3,1,0.6429803371429443,0.35464319586753845,0.9989469647407532
3,2,0.6447669863700867,0.3549134135246277,0.9988300800323486
3,3,0.6463533043861389,0.3550664782524109,0.99900883436203
3,4,0.6365104913711548,0.35493505001068115,0.9989699721336365
3,5,0.6340506076812744,0.35544508695602417,0.9990177154541016
3,6,0.6317285895347595,0.35589608550071716,0.9992306232452393
3,7,0.6485151648521423,0.3623230457305908,0.9979014992713928
3,8,0.6274893283843994,0.3641761243343353,0.9975065588951111
3,9,0.6449903845787048,0.37782275676727295,0.9991273283958435
3,10,0.6366180777549744,0.3784370422363281,0.9989867210388184
3,11,0.6673372983932495,0.425703763961792,0.9997320771217346
3,12,0.6117215752601624,0.4296827018260956,0.9985841512680054
3,13,0.674652636051178,0.501319944858551,0.9704543948173523
3,14,0.6088318228721619,0.5057340264320374,0.9787638783454895
3,15,0.680735170841217,0.5658657550811768,0.8887999057769775
3,16,0.6223078370094299,0.4199419915676117,0.9699554443359375
3,17,0.6840493679046631,0.5876337885856628,0.8348438143730164
3,18,0.6235459446907043,0.4002758264541626,0.9304869174957275
3,19,0.6826136112213135,0.5882385969161987,0.8354575634002686
3,20,0.6231065392494202,0.3942919373512268,0.9247092604637146
3,21,0.6803898215293884,0.5838884711265564,0.8085826635360718
3,22,0.6226499080657959,0.4015420973300934,0.899100124835968
3,23,0.6586785912513733,0.5724247694015503,0.9992318153381348
3,24,0.6269926428794861,0.5823718905448914,0.9996349215507507
3,25,0.6564925312995911,0.6440520286560059,0.9604710340499878
3,26,0.6256359815597534,0.711205244064331,0.976818859577179
3,27,0.6600698828697205,0.7397400140762329,0.9685800075531006
3,28,0.6301794648170471,0.82562655210495,0.9753062725067139
3,29,0.6581227779388428,0.7491487860679626,0.7856022715568542
3,30,0.6337345242500305,0.8409273624420166,0.875466525554657
3,31,0.661052405834198,0.7972848415374756,0.9515891075134277
3,32,0.6288986206054688,0.860544741153717,0.9746178984642029
4,0,0.6411350965499878,0.36482682824134827,0.9996690154075623
4,1,0.6429861187934875,0.3547557592391968,0.9990435242652893
4,2,0.6447864770889282,0.35504719614982605,0.9989380836486816
4,3,0.646438479423523,0.3551953434944153,0.9990960955619812
4,4,0.6364936828613281,0.355148047208786,0.99906325340271
4,5,0.6340281963348389,0.35576146841049194,0.9991073608398438
4,6,0.6317012906074524,0.35636377334594727,0.9992982745170593
4,7,0.6488174796104431,0.36253225803375244,0.9980977177619934
4,8,0.6274827718734741,0.3651582896709442,0.997734785079956
4,9,0.6450607776641846,0.37782835960388184,0.9992067217826843
4,10,0.6366352438926697,0.3784371018409729,0.9990803599357605
4,11,0.667441189289093,0.427471399307251,0.999721348285675
4,12,0.611524224281311,0.4322493374347687,0.998647928237915
4,13,0.6754125952720642,0.5054700374603271,0.9673073291778564
4,14,0.6046485900878906,0.5072053074836731,0.9787711501121521
4,15,0.6806145310401917,0.5707919597625732,0.8922053575515747
4,16,0.6224479079246521,0.46212849020957947,0.9707185626029968
4,17,0.68402498960495,0.5946665406227112,0.8363609313964844
4,18,0.626667320728302,0.44653570652008057,0.9329532980918884
4,19,0.6825164556503296,0.5952348113059998,0.8373120427131653
4,20,0.6268395781517029,0.4394185245037079,0.9275727868080139
4,21,0.680335283279419,0.5900949835777283,0.8110538721084595
4,22,0.625909149646759,0.443050742149353,0.9021395444869995
4,23,0.6586841344833374,0.5773335695266724,0.999208390712738
4,24,0.62702476978302,0.5832999348640442,0.9996123313903809
4,25,0.6568532586097717,0.6839991807937622,0.9633839130401611
4,26,0.6265005469322205,0.7111977338790894,0.9774162769317627
4,27,0.66035395860672,0.7711373567581177,0.9687307476997375
4,28,0.6302001476287842,0.8235722184181213,0.9762519001960754
4,29,0.6581352353096008,0.7771713733673096,0.784185528755188
4,30,0.6337525844573975,0.8381813764572144,0.8668462634086609
4,31,0.6619148850440979,0.8218317627906799,0.9530928134918213
4,32,0.6296072602272034,0.8604242205619812,0.9745104908943176
5,0,0.6413995623588562,0.363472580909729,0.9997000694274902
5,1,0.6432681679725647,0.3542514145374298,0.999133288860321
5,2,0.6451082825660706,0.3545454442501068,0.9990379810333252
5,3,0.646908700466156,0.3547552227973938,0.9991791248321533
5,4,0.636728823184967,0.3545213043689728,0.9991512894630432
5,5,0.634228527545929,0.35518118739128113,0.9991915822029114
5,6,0.631866991519928,0.3558616638183594,0.9993636012077332
5,7,0.6492749452590942,0.3624035716056824,0.9982759356498718
5,8,0.6276612877845764,0.36496663093566895,0.9979498982429504
5,9,0.6454116106033325,0.37667039036750793,0.9992818832397461
5,10,0.6369545459747314,0.3769909739494324,0.9991689324378967
5,11,0.6679336428642273,0.43064171075820923,0.999714732170105
5,12,0.6111591458320618,0.43337059020996094,0.998731255531311
