Frame,X,Y,Visibility
0,0,0.849724531173706,0.3483777344226837,0.9999712705612183
0,1,0.8667307496070862,0.3326827883720398,0.9998892545700073
0,2,0.8757057189941406,0.33291083574295044,0.9998775720596313
0,3,0.8850936889648438,0.33320721983909607,0.9998631477355957
0,4,0.8412471413612366,0.33369243144989014,0.9998940229415894
0,5,0.8323617577552795,0.334615558385849,0.9999018907546997
0,6,0.823366105556488,0.33575135469436646,0.9999020099639893
0,7,0.9035480618476868,0.3429253399372101,0.9997128844261169
0,8,0.8159873485565186,0.34622108936309814,0.9998551607131958
0,9,0.8685898184776306,0.36490967869758606,0.9999591112136841
0,10,0.8323535323143005,0.36692336201667786,0.9999630451202393
0,11,0.9853298664093018,0.4293472170829773,0.9998787641525269
0,12,0.7391486167907715,0.43302080035209656,0.9999099969863892
0,13,0.9940966367721558,0.5370903611183167,0.9439566731452942
0,14,0.7312121391296387,0.5430281162261963,0.9787255525588989
0,15,1.0170109272003174,0.6342113018035889,0.9019434452056885
0,16,0.7117446064949036,0.6349033713340759,0.9485381841659546
0,17,1.0286051034927368,0.6682615280151367,0.8403956294059753
0,18,0.7001075744628906,0.668194055557251,0.912291407585144
0,19,1.008521318435669,0.6682565212249756,0.8466829657554626
0,20,0.7124112248420715,0.669963002204895,0.9146122932434082
0,21,0.9953877925872803,0.6570226550102234,0.8454031944274902
0,22,0.7179672718048096,0.6584110260009766,0.9087622761726379
0,23,0.9320763349533081,0.628472626209259,0.9996708631515503
0,24,0.7874199151992798,0.6218975186347961,0.9996740818023682
0,25,0.9040877819061279,0.7878301739692688,0.9819144606590271
0,26,0.789808988571167,0.7808175683021545,0.9889106750488281
0,27,0.8530501127243042,0.9173277616500854,0.9805380702018738
0,28,0.789136528968811,0.9147449731826782,0.9845495223999023
0,29,0.8344887495040894,0.9332345128059387,0.9049471020698547
0,30,0.7786006927490234,0.9347884058952332,0.8308632969856262
0,31,0.9124071598052979,0.9877164363861084,0.9680473208427429
0,32,0.8209865093231201,0.9825339913368225,0.9721358418464661
1,0,0.8542044162750244,0.34842798113822937,0.9999707937240601
1,1,0.8685382604598999,0.3328036665916443,0.9998885989189148
1,2,0.8776373267173767,0.33297964930534363,0.9998762011528015
1,3,0.886590838432312,0.3332439363002777,0.9998619556427002
1,4,0.8423666954040527,0.33391353487968445,0.9998937845230103
1,5,0.8331212997436523,0.33483847975730896,0.9999006986618042
