Frame,X,Y,Visibility
0,0,0.5168871283531189,0.3183419108390808,0.9998674392700195
0,1,0.5287956595420837,0.3073199987411499,0.9997695088386536
0,2,0.5363678336143494,0.3075793385505676,0.9997159838676453
0,3,0.5444226264953613,0.3081572949886322,0.9997146725654602
0,4,0.5090522766113281,0.3082083463668823,0.9996446371078491
0,5,0.5026541948318481,0.3088551163673401,0.9995421171188354
0,6,0.49622654914855957,0.3095504939556122,0.9995500445365906
0,7,0.5580812096595764,0.3152606785297394,0.9997766613960266
0,8,0.48754221200942993,0.3171864449977875,0.9993876218795776
0,9,0.5309659838676453,0.32925260066986084,0.9998599290847778
0,10,0.5061796307563782,0.3299640417098999,0.9997559189796448
0,11,0.6213230490684509,0.37482234835624695,0.9999693632125854
0,12,0.44458913803100586,0.37278205156326294,0.9997298121452332
0,13,0.6696215271949768,0.45653975009918213,0.8942678570747375
0,14,0.3926337957382202,0.43443581461906433,0.8978331685066223
0,15,0.712211549282074,0.45464515686035156,0.937543511390686
0,16,0.327070951461792,0.376522958278656,0.9793514013290405
0,17,0.7267178893089294,0.4560149013996124,0.9056187868118286
0,18,0.29664120078086853,0.3670231103897095,0.9709874391555786
0,19,0.7320432662963867,0.445944219827652,0.909338653087616
0,20,0.2952425181865692,0.3597615957260132,0.9709124565124512
0,21,0.7208874225616455,0.44605034589767456,0.8937765955924988
0,22,0.31008055806159973,0.3635891377925873,0.9624752402305603
0,23,0.5927591919898987,0.5327479243278503,0.9996029734611511
0,24,0.49134474992752075,0.5309984683990479,0.999232292175293
0,25,0.6100963950157166,0.6631764769554138,0.9496910572052002
0,26,0.47820842266082764,0.643180251121521,0.8780685067176819
0,27,0.6396365165710449,0.7723305225372314,0.9595995545387268
0,28,0.5031960010528564,0.7542171478271484,0.9143792986869812
0,29,0.6391195058822632,0.7856873273849487,0.7915640473365784
0,30,0.5233768820762634,0.7564051151275635,0.7441919445991516
0,31,0.6047890186309814,0.8129072189331055,0.944392740726471
0,32,0.47233641147613525,0.7952905297279358,0.9102999567985535
1,0,0.5155720710754395,0.31898197531700134,0.9998772740364075
1,1,0.5281658172607422,0.30746519565582275,0.9997865557670593
1,2,0.5361435413360596,0.3076706826686859,0.9997373819351196
1,3,0.5443423986434937,0.30821889638900757,0.9997355341911316
1,4,0.5073009133338928,0.30868101119995117,0.9996707439422607
1,5,0.500847339630127,0.3094598054885864,0.99957674741745
1,6,0.4945289194583893,0.31030309200286865,0.9995841979980469
1,7,0.5580567121505737,0.31540581583976746,0.9997920989990234
1,8,0.48753684759140015,0.3173908591270447,0.9994292259216309
1,9,0.5308834314346313,0.3303232491016388,0.9998691082000732
1,10,0.5050773620605469,0.3308352530002594,0.9997726678848267
1,11,0.6171703338623047,0.37659862637519836,0.9999663233757019
1,12,0.44487252831459045,0.3724533021450043,0.9997283816337585
1,13,0.6453686952590942,0.45655158162117004,0.8943802118301392
1,14,0.3925538957118988,0.4262063205242157,0.8997260332107544
1,15,0.6507316827774048,0.46008923649787903,0.9348304867744446
1,16,0.33383265137672424,0.3534766733646393,0.9794073700904846
1,17,0.6583727598190308,0.46528589725494385,0.9019123911857605
1,18,0.3097953200340271,0.3386695981025696,0.9709415435791016
1,19,0.6596749424934387,0.45382770895957947,0.9059135317802429
1,20,0.31106770038604736,0.33096107840538025,0.9709091782569885
1,21,0.6514278650283813,0.4513865113258362,0.8890537619590759
1,22,0.32252267003059387,0.3374612033367157,0.962512731552124
1,23,0.5874043703079224,0.5275029540061951,0.9996057748794556
1,24,0.4766424596309662,0.5275904536247253,0.9992538094520569
1,25,0.5573875308036804,0.6436476111412048,0.9515394568443298
1,26,0.4709010720252991,0.6456225514411926,0.8844213485717773
1,27,0.5731605887413025,0.7608782649040222,0.960833728313446
1,28,0.4940081536769867,0.7535820007324219,0.9184728264808655
1,29,0.5653765797615051,0.7718414068222046,0.7937803864479065
1,30,0.5049313306808472,0.7636423707008362,0.7513450384140015
1,31,0.5642368793487549,0.7982790470123291,0.9460697174072266
1,32,0.47093719244003296,0.7964252233505249,0.9137653708457947
2,0,0.5122935175895691,0.3189496695995331,0.9998860359191895
2,1,0.5269485116004944,0.3074619472026825,0.9998006224632263
2,2,0.5357025861740112,0.3076719343662262,0.9997544884681702
2,3,0.5443238615989685,0.30823180079460144,0.9997503757476807
2,4,0.505767285823822,0.3086192309856415,0.9996941685676575
2,5,0.4995197355747223,0.30932295322418213,0.9996082782745361
2,6,0.4932745397090912,0.310071736574173,0.9996143579483032
2,7,0.5580744743347168,0.3154847025871277,0.9997998476028442
2,8,0.4869855046272278,0.3169943690299988,0.9994612336158752
2,9,0.528465986251831,0.3303096890449524,0.9998731017112732
2,10,0.5013576745986938,0.33052942156791687,0.9997804760932922
2,11,0.6151754856109619,0.3767175078392029,0.9999493360519409
2,12,0.4441070258617401,0.36972013115882874,0.9997040033340454
2,13,0.6271868348121643,0.45611846446990967,0.885177731513977
2,14,0.39130645990371704,0.4172888398170471,0.9016783237457275
2,15,0.6339096426963806,0.4724658727645874,0.9233500957489014
2,16,0.36232632398605347,0.32908520102500916,0.9791333675384521
2,17,0.6412131190299988,0.48358869552612305,0.8873690366744995
2,18,0.354507714509964,0.3134252429008484,0.9703181982040405
2,19,0.6411352157592773,0.47444015741348267,0.8920654654502869
2,20,0.35940372943878174,0.3051477074623108,0.970186710357666
2,21,0.6327604055404663,0.46967852115631104,0.8729475140571594
2,22,0.3643021285533905,0.3126935362815857,0.9612669348716736
2,23,0.5836036205291748,0.5241808295249939,0.9995676279067993
